,ws_nazwa_pilkarza,ws_klub,ws_wiek,ws_pozycja1,ws_pozycja2,ws_pozycja3,ws_wystepy,ws_minuty,ws_bramki,ws_asysty,ws_zolte_kartki,ws_czerwone_kartki,ws_strzaly_na_mecz,ws_skutecznosc_podan,ws_wygrane_pojedynki_na_mecz,ws_MotM,ws_srednia_ocena
1662,Lucas Hernández,Bayern, 26, D(CL),,,6(1),479,-,-,1,-,-,90.8,0.6,-,6.63
1663,Robert Skov,Hoffenheim, 26, D(L),M(LR),,12(2),941,3,1,1,-,2.2,72.1,0.4,1,6.63
1664,Janik Haberer,Union Berlin, 28, M(CLR),FW,,13,859,3,1,-,-,1.2,68.4,1.1,-,6.63
1665,Thomas Meunier,Borussia Dortmund, 31, D(R),M(R),,7(1),565,-,-,2,-,0.5,73.2,0.9,-,6.63
1666,Maximilian Eggestein,Freiburg, 26, M(CR),,,11(3),1021,-,2,1,-,0.4,79,1.4,-,6.63
1667,Marvin Plattenhardt,Hertha Berlin, 30, D(L),M(L),,13,1000,-,2,2,-,0.2,75,0.5,1,6.63
1668,Maxence Lacroix,Wolfsburg, 22, D(C),,,9(1),805,1,-,-,-,0.2,86.5,2.4,1,6.63
1669,Maya Yoshida,Schalke, 34, D(CR),,,15,1339,-,-,3,-,0.3,77.8,2.5,-,6.63
1670,Florian Neuhaus,Borussia M.Gladbach, 25, M(C),,,6,471,-,-,-,-,1.5,76.1,-,-,6.62
1671,Robert Andrich,Leverkusen, 28, M(C),,,12(1),982,1,2,5,-,0.7,84,1.1,-,6.62
1672,Chris Führich,Stuttgart, 25, M(CLR),FW,,10(4),880,2,-,2,-,1.1,79.7,0.1,-,6.62
1673,Wilfried Kanga,Hertha Berlin, 24, FW,,,10(4),938,2,-,2,-,1.5,65.3,2.6,-,6.62
1674,Robert Gumny,Augsburg, 24, D(CLR),,,9(2),836,1,1,2,-,0.3,61.3,2,-,6.62
1675,Jirí Pavlenka,Werder Bremen, 30, GK,,,15,1289,-,-,-,-,-,67.2,0.1,1,6.61
1676,Evan Ndicka,Eintracht Frankfurt, 23, D(CL),,,15,1343,-,-,2,-,0.3,86.6,2.5,1,6.61
1677,Lukas Nmecha,Wolfsburg, 24, AM(CR),FW,,10(2),822,4,-,3,-,1.8,65.3,1.4,-,6.61
1678,Kerem Demirbay,Leverkusen, 29, M(C),,,9(5),788,3,3,2,-,1,79.3,0.2,1,6.60
1679,Marco Reus,Borussia Dortmund, 33, M(CLR),FW,,7(2),640,2,2,2,-,1.4,77.9,0.4,-,6.60
1680,Jan Thielmann,FC Koln, 20, AM(CLR),FW,,5(5),488,1,1,2,-,0.9,68.3,0.6,1,6.60
1681,Hiroki Ito,Stuttgart, 23, D(C),,,12(1),1077,-,1,3,-,0.7,81.4,0.8,-,6.60
1682,Niklas Stark,Werder Bremen, 27, D(C),DMC,,6(4),644,-,-,3,-,0.2,82,1.2,-,6.60
1683,Ansgar Knauff,Eintracht Frankfurt, 21, M(LR),,,7(4),639,1,-,1,-,1,64.5,0.3,-,6.60
1684,Timo Hübers,FC Koln, 26, D(C),,,11(1),1028,-,-,3,-,0.1,83.4,2.8,-,6.60
1685,Rani Khedira,Union Berlin, 28, D(C),DMC,,14,1216,-,-,5,-,0.9,75.1,1.3,-,6.59
1686,Benjamin Henrichs,RBL, 25, D(LR),DMC,M(LR),10(4),974,-,1,5,-,0.9,73.2,0.8,-,6.59
1687,Kevin Akpoguma,Hoffenheim, 27, D(CR),M(R),,8(5),836,-,-,4,-,0.2,78.7,1.7,-,6.59
1688,Diogo Leite,Union Berlin, 23, D(C),,,13,1099,-,1,1,1,0.5,80,2.2,-,6.59
1689,Sven Ulreich,Bayern, 34, GK,,,4,271,-,-,1,-,-,81.7,-,-,6.59
1690,Robin Zentner,Mainz, 28, GK,,,15,1350,-,-,1,-,-,47.6,0.7,-,6.59
1691,Anthony Modeste,Borussia Dortmund, 34, FW,,,7(6),720,2,1,3,-,1.6,60.2,1.8,-,6.58
1692,Stefan Bell,Mainz, 31, D(CR),,,9(4),891,-,-,5,-,0.2,80.6,2.6,-,6.58
1693,Marcel Halstenberg,RBL, 31, D(CL),M(L),,7(5),677,-,1,-,-,0.3,85.3,0.9,-,6.58
