,ws_nazwa_pilkarza,ws_klub,ws_wiek,ws_pozycja1,ws_pozycja2,ws_pozycja3,ws_wystepy,ws_minuty,ws_bramki,ws_asysty,ws_zolte_kartki,ws_czerwone_kartki,ws_strzaly_na_mecz,ws_skutecznosc_podan,ws_wygrane_pojedynki_na_mecz,ws_MotM,ws_srednia_ocena
0,Benoît Badiashile,Chelsea, 21, D(C),,,1,90,-,-,-,-,-,96,6,-,7.89
1,Asmir Begovic,Everton, 35, GK,,,1,90,-,-,-,-,-,64,1,1,7.82
2,Erling Haaland,Man City, 22, FW,,,17(1),1491,22,3,3,-,3.9,76.1,1.3,4,7.70
3,Kieran Trippier,Newcastle, 32, D(LR),M(R),,19,1687,1,4,4,-,0.4,75.8,1.3,7,7.66
4,Kevin De Bruyne,Man City, 31, M(CLR),FW,,17(1),1495,3,10,1,-,2.5,79.5,0.3,5,7.62
5,Gabriel Jesus,Arsenal, 25, AM(LR),FW,,14,1226,5,5,4,-,3.6,81.9,1.7,2,7.59
6,Martin Ødegaard,Arsenal, 24, AM(CR),,,17,1440,8,5,3,-,2.5,82,0.5,5,7.52
7,Harry Kane,Tottenham, 29, AM(C),FW,,20,1788,15,1,4,-,3.6,71.9,1.7,3,7.50
8,Reiss Nelson,Arsenal, 23, M(LR),,,0(2),64,2,1,-,-,1.5,89.5,-,-,7.48
9,James Maddison,Leicester, 26, AM(CLR),,,13,1100,7,4,5,-,3,84.2,0.2,3,7.39
10,Ivan Toney,Brentford, 26, FW,,,17,1522,13,3,6,-,2.9,62.6,3,3,7.36
11,Bukayo Saka,Arsenal, 21, D(L),M(CLR),,18,1539,6,7,4,-,1.9,83.2,0.3,1,7.33
12,Aleksandar Mitrovic,Fulham, 28, FW,,,16,1376,11,1,5,-,4.5,61.2,4.6,4,7.32
13,Gabriel Martinelli,Arsenal, 21, AM(L),FW,,18,1534,7,2,2,-,2.4,83.4,0.4,1,7.32
14,Rodri,Man City, 26, D(C),DMC,,18,1571,1,4,2,-,1.5,91.2,2.3,1,7.31
15,Bruno Fernandes,Man Utd, 28, M(CLR),,,18,1620,4,3,5,-,2.2,78.3,0.6,3,7.31
16,Bruno Guimarães,Newcastle, 25, DMC,,,16,1315,3,3,3,-,0.9,83.1,0.5,1,7.30
17,Joelinton,Newcastle, 26, AM(CLR),FW,,16(1),1420,2,1,6,-,1.6,81.8,2.1,1,7.29
18,Luis Díaz,Liverpool, 26, AM(L),,,7(1),615,3,2,2,-,2,81,0.8,1,7.28
19,Casemiro,Man Utd, 30, DMC,,,12(4),1159,2,3,5,-,1.1,78.6,1.8,2,7.27
20,Rodrigo Bentancur,Tottenham, 25, M(C),,,14(1),1261,4,2,5,-,0.8,86.3,0.8,1,7.24
21,Thomas Partey,Arsenal, 29, D(R),M(CR),,15,1305,2,-,2,-,1.3,86.9,1.3,1,7.23
22,Evan Ferguson,Brighton, 18, Forward,,,2(2),175,2,2,1,-,1.8,79.5,1,-,7.22
23,Solly March,Brighton, 28, M(CLR),,,18,1547,4,4,2,-,2.1,78.1,1.3,3,7.21
24,Roberto Firmino,Liverpool, 31, M(CLR),FW,,11(2),937,7,3,-,-,2.5,79.6,1,2,7.20
25,N'Golo Kanté,Chelsea, 31, DMC,,,2,174,-,-,-,-,1,84.8,-,1,7.20
26,Fabian Schär,Newcastle, 31, D(C),,,18,1605,1,-,4,-,1.3,75.7,2.3,1,7.18
27,Kepa Arrizabalaga,Chelsea, 28, GK,,,11,946,-,-,-,-,-,80.7,0.4,1,7.16
28,Wayne Hennessey,Nottingham Forest, 35, GK,,,1,90,-,-,-,-,-,58.3,-,-,7.16
29,Miguel Almirón,Newcastle, 28, AM(CLR),FW,,19,1584,9,1,1,-,2.3,84.3,0.2,1,7.15
30,Bernd Leno,Fulham, 30, GK,,,18,1620,-,-,2,-,-,74.5,0.4,3,7.15
31,Phil Foden,Man City, 22, AM(CLR),FW,,13(5),1048,7,3,1,-,1.6,85.2,0.8,-,7.11
32,Alexander Isak,Newcastle, 23, FW,,,3(1),263,3,-,-,-,2.3,68.3,1.3,-,7.08
33,Reece James,Chelsea, 23, D(CR),DMC,M(R),7(1),611,1,1,3,-,1.1,90.9,1.3,-,7.08
34,Pierre-Emile Højbjerg,Tottenham, 27, M(C),,,19,1693,4,2,2,-,1.1,88.9,0.6,2,7.07
35,Granit Xhaka,Arsenal, 30, D(L),M(C),,18,1529,3,4,3,-,1.2,86.4,0.9,1,7.05
36,Jack Grealish,Man City, 27, AM(CL),FW,,9(4),864,2,3,-,-,1.2,88.4,0.5,1,7.05
37,João Palhinha,Fulham, 27, DMC,,,19,1688,3,-,6,-,1.2,82.4,2,2,7.04
38,João Cancelo,Man City, 28, D(LR),M(R),,16(1),1279,2,1,3,1,1,86.8,1.6,1,7.03
39,Thiago Silva,Chelsea, 38, D(C),,,16(1),1523,-,2,1,-,0.5,90.4,2.1,1,7.02
40,Dejan Kulusevski,Tottenham, 22, AM(CR),FW,,10(2),883,2,5,-,-,1.5,81.7,0.3,1,7.02
41,Alexis Mac Allister,Brighton, 24, M(CL),FW,,15(1),1368,5,-,4,-,1.9,89.1,0.7,1,7.01
42,James Ward-Prowse,Southampton, 28, M(CR),,,19,1710,5,2,2,-,1.2,83,1.7,1,7.01
43,Serge Aurier,Nottingham Forest, 30, D(CLR),M(R),,10(1),876,1,-,1,-,0.4,72.4,2.2,1,7.00
44,Álex Moreno,Aston Villa, 29, D(L),M(L),,0(1),80,-,-,-,-,2,67.3,-,-,7.00
45,Christian Nørgaard,Brentford, 28, D(C),DMC,,8(1),692,1,1,-,-,1,74.2,0.6,-,7.00
46,Kenny Tete,Fulham, 27, D(CR),M(R),,13(1),1160,-,4,6,-,0.4,75.4,1.1,-,6.99
47,Ilkay Gündogan,Man City, 32, M(C),,,13(3),1158,2,2,-,-,1.8,88.3,0.8,-,6.99
48,Ben Mee,Brentford, 33, D(CL),,,18,1570,2,1,1,-,0.6,77.3,3.4,1,6.99
49,David Raya,Brentford, 27, GK,,,19,1710,-,-,1,-,-,60.8,0.5,2,6.98
50,Rúben Neves,Wolves, 25, DMC,,,18,1620,4,-,7,-,2.1,83.7,0.7,3,6.98
51,Alisson,Liverpool, 30, GK,,,18,1620,-,1,-,-,-,81.8,0.2,2,6.97
52,Bernardo Silva,Man City, 28, M(CLR),FW,,15(3),1314,2,5,2,-,0.9,89.5,0.1,-,6.97
53,Son Heung-Min,Tottenham, 30, M(CLR),FW,,17(1),1485,4,2,-,-,2.7,81,0.3,2,6.97
54,Riyad Mahrez,Man City, 31, AM(CLR),FW,,8(6),760,4,2,2,-,1.5,89.4,0.1,2,6.97
55,Diogo Dalot,Man Utd, 23, D(LR),M(R),,13(1),1187,-,1,5,-,0.9,78,1.6,2,6.96
56,Marcus Rashford,Man Utd, 25, AM(CLR),FW,,17(2),1531,8,3,2,-,2.5,76.8,0.8,3,6.96
57,Moussa Niakhaté,Nottingham Forest, 26, D(CL),,,2,162,-,-,-,-,1.5,76,5.5,-,6.96
58,Leandro Trossard,Brighton, 28, M(CLR),FW,,16,1326,7,2,1,-,2.4,74.4,0.4,2,6.96
59,Moisés Caicedo,Brighton, 21, DMC,,,17,1518,1,1,5,-,0.8,87.9,1.2,-,6.96
60,Pascal Groß,Brighton, 31, M(CR),FW,,18,1557,6,3,2,-,1.1,82.2,0.2,2,6.96
61,Aaron Wan-Bissaka,Man Utd, 25, D(R),M(R),,5(1),433,-,-,-,-,0.2,79.4,0.2,-,6.95
62,Mohamed Salah,Liverpool, 30, AM(CLR),FW,,18,1599,7,4,-,-,3.3,76.7,0.2,1,6.94
63,Ben White,Arsenal, 25, D(CR),DMC,,18,1473,-,2,3,-,0.3,86.8,0.9,-,6.94
64,Marcus Tavernier,Bournemouth, 23, M(CLR),,,15,1289,2,4,1,-,1.7,76.5,0.8,2,6.94
65,Pascal Struijk,Leeds, 23, D(CL),DMC,,17,1502,2,1,3,-,0.7,79.2,2.3,-,6.93
66,Callum Wilson,Newcastle, 30, FW,,,12(2),979,6,3,3,-,2.6,71.5,0.9,1,6.93
67,Gabriel Magalhães,Arsenal, 25, D(C),,,18,1620,2,-,4,-,0.9,89.5,2.1,2,6.93
68,Darwin Núñez,Liverpool, 23, AM(CL),FW,,10(3),874,5,2,1,1,4.2,69.5,1.5,2,6.91
69,Declan Rice,West Ham, 24, D(C),DMC,,19,1710,1,2,3,-,1.3,89.8,1,1,6.91
70,Ethan Pinnock,Brentford, 29, D(C),,,11,990,-,-,-,-,0.5,74.6,3.8,-,6.91
71,James Tarkowski,Everton, 30, D(C),,,19,1710,-,-,3,-,0.7,84.3,2.7,1,6.91
72,Thiago,Liverpool, 31, M(C),,,12,983,-,-,2,-,0.7,86.6,0.9,1,6.90
73,Willian,Fulham, 34, AM(CLR),,,11(2),981,2,2,-,-,1.5,83,0.4,1,6.89
74,Wilfried Zaha,Crystal Palace, 30, AM(LR),FW,,18,1599,6,2,3,-,2.3,82.6,0.3,2,6.89
75,Eberechi Eze,Crystal Palace, 24, AM(CLR),,,18(1),1459,3,3,1,-,1.9,83.4,0.4,1,6.89
76,Trent Alexander-Arnold,Liverpool, 24, D(R),M(R),,16(2),1339,1,1,3,-,0.9,77,0.6,-,6.89
77,Mason Mount,Chelsea, 24, M(CLR),,,17(1),1371,3,2,3,-,1.6,81.1,0.4,2,6.88
78,Nick Pope,Newcastle, 30, GK,,,19,1710,-,-,3,-,-,55.4,0.1,1,6.88
79,Joachim Andersen,Crystal Palace, 26, D(C),,,17,1478,1,-,3,-,0.6,80.2,2.4,-,6.88
80,Youri Tielemans,Leicester, 25, M(C),,,17(2),1473,3,1,2,-,1.2,84,0.9,-,6.86
81,Oleksandr Zinchenko,Arsenal, 26, D(L),M(CLR),,10(1),818,-,1,1,-,0.6,89.5,1.5,1,6.86
82,Antony,Man Utd, 22, AM(R),,,9(1),764,3,-,1,-,3,79.5,0.3,-,6.86
83,Emiliano Martínez,Aston Villa, 30, GK,,,17,1475,-,-,3,-,-,70,0.3,-,6.85
84,Mason Holgate,Everton, 26, D(CR),DMC,M(R),3(1),320,-,-,1,-,0.8,73.4,1.5,-,6.85
85,Yerry Mina,Everton, 28, D(C),,,2,146,1,-,1,-,0.5,83.3,1.5,-,6.84
86,Jordan Pickford,Everton, 28, GK,,,18,1620,-,1,3,-,-,56.1,0.2,3,6.83
87,Sven Botman,Newcastle, 23, D(C),,,16(1),1419,-,-,-,-,0.5,86.5,1.8,-,6.83
88,Luke Shaw,Man Utd, 27, D(CL),M(L),,14(1),1236,1,1,3,-,0.4,85.3,1.2,-,6.83
89,Cheick Oumar Doucouré,Crystal Palace, 23, DMC,,,17,1395,-,1,6,-,1.1,84.5,0.7,-,6.83
90,Rodrigo,Leeds, 31, M(CLR),FW,,16(1),1229,10,1,2,-,3,72.2,1,1,6.82
91,Kaoru Mitoma,Brighton, 25, M(L),,,6(7),659,3,1,-,-,1.1,82.5,0.5,1,6.82
92,Wesley Fofana,Leicester, 22, D(C),,,2,180,-,-,1,-,1,84.2,2.5,-,6.82
93,Morgan Gibbs-White,Nottingham Forest, 22, AM(CR),FW,,15(1),1290,2,4,1,-,1.8,69,1.5,4,6.81
94,Joe Willock,Newcastle, 23, M(C),,,17(2),1427,2,2,-,-,1.6,84,0.5,1,6.81
95,Philip Billing,Bournemouth, 26, M(C),FW,,17(2),1413,4,1,2,-,0.9,76.4,1.6,2,6.81
96,Dan Burn,Newcastle, 30, D(CL),M(L),,18(1),1587,-,-,3,-,0.5,78.7,2.1,-,6.80
97,Michael Olise,Crystal Palace, 21, AM(CLR),,,13(5),1179,2,4,1,-,1.3,79.1,0.3,2,6.80
98,Aaron Ramsdale,Arsenal, 24, GK,,,18,1620,-,-,-,-,-,60.2,0.2,1,6.80
99,Lucas Paquetá,West Ham, 25, M(CLR),FW,,11(1),934,1,2,2,-,2.3,80.6,1.7,1,6.80
100,Kai Havertz,Chelsea, 23, M(CR),FW,,16(2),1338,5,1,3,-,1.9,81.1,2.2,-,6.80
101,Tomás Soucek,West Ham, 27, DMC,,,18(1),1545,1,1,1,-,0.9,74.6,2.6,1,6.79
102,Andreas Pereira,Fulham, 27, M(CLR),,,20,1652,2,5,5,-,1.3,71.2,0.4,1,6.79
103,Andrew Robertson,Liverpool, 28, D(L),M(L),,13(3),1151,-,5,-,-,0.3,83.9,0.6,-,6.79
104,Virgil van Dijk,Liverpool, 31, D(C),,,17,1486,2,-,1,-,1.1,89.1,2.6,-,6.79
105,William Saliba,Arsenal, 21, D(C),,,18,1606,2,1,4,-,0.3,92,1.6,1,6.79
106,Amadou Onana,Everton, 21, DMC,,,15(2),1308,1,1,5,-,1.1,83.3,1.7,-,6.78
107,Timothy Castagne,Leicester, 27, D(CLR),M(LR),,17(1),1552,1,2,1,-,0.6,81.8,1.4,-,6.78
108,Rasmus Kristensen,Leeds, 25, D(R),M(R),,13(1),1136,-,1,4,-,0.5,67.5,1.4,-,6.78
109,Bryan Mbeumo,Brentford, 23, AM(LR),FW,,19,1451,4,1,4,-,1.8,72.9,0.8,1,6.77
110,Vitaly Janelt,Brentford, 24, DMC,,,14(5),1291,2,1,1,-,0.4,81.2,1.1,1,6.76
111,Danny Welbeck,Brighton, 32, AM(CLR),FW,,11(3),1022,1,2,-,-,2,83.2,1.7,1,6.76
112,Allan Saint-Maximin,Newcastle, 25, AM(CLR),FW,,4(7),459,1,3,1,-,1.2,74.1,0.1,1,6.76
113,Kalidou Koulibaly,Chelsea, 31, D(C),,,12(2),1116,2,-,3,1,0.6,85.9,1.6,-,6.75
114,Mathias Jensen,Brentford, 27, M(C),,,19,1428,2,4,3,-,0.5,75.5,0.4,2,6.75
115,James Justin,Leicester, 24, D(CLR),M(LR),,14,1254,-,-,-,-,0.4,81.5,1.6,-,6.74
116,Rúben Dias,Man City, 25, D(C),,,9(4),873,-,-,-,-,0.4,92.2,2,-,6.74
117,Raheem Sterling,Chelsea, 28, M(CLR),FW,,14(1),1122,4,2,3,-,1.3,78.1,-,1,6.74
118,Eric Dier,Tottenham, 29, D(CR),DMC,,18(1),1645,2,-,1,-,0.5,87,2.3,-,6.73
119,Willy Boly,Nottingham Forest, 31, D(C),,,5,423,-,1,1,-,0.2,75.2,1.6,1,6.73
120,Douglas Luiz,Aston Villa, 24, M(C),,,14(4),1258,2,3,1,1,0.8,85.5,0.8,1,6.73
121,Jack Harrison,Leeds, 26, AM(CLR),FW,,14(2),1103,1,4,2,-,0.9,72,0.2,2,6.73
122,Lisandro Martínez,Man Utd, 25, D(CL),DMC,,15(2),1299,-,-,4,-,0.2,86.7,1.2,-,6.72
123,Tim Ream,Fulham, 35, D(CL),DMC,,20,1798,1,-,2,-,0.2,86.7,1.4,-,6.72
124,Kiernan Dewsbury-Hall,Leicester, 24, M(C),,,16(1),1319,2,2,1,-,0.9,78.8,0.6,1,6.72
125,Lukasz Fabianski,West Ham, 37, GK,,,19,1605,-,-,-,-,-,62.8,0.6,-,6.72
126,Lewis Hall,Chelsea, 18, Midfielder,,,3(1),252,-,-,1,-,1,82.5,1,-,6.72
127,Che Adams,Southampton, 26, AM(CL),FW,,16(2),1422,4,2,-,-,1.9,68.4,2.4,1,6.72
128,Mohammed Salisu,Southampton, 23, D(CL),,,18,1620,-,1,4,-,0.7,77.4,2.4,-,6.71
129,Matt Doherty,Tottenham, 31, D(LR),M(LR),,7(5),667,1,-,-,-,0.8,82.4,1.7,-,6.70
130,Illan Meslier,Leeds, 22, GK,,,18,1620,-,-,2,-,-,51.3,0.2,3,6.70
131,John Stones,Man City, 28, D(CR),,,12(1),1091,-,2,1,-,0.5,94.3,1.5,-,6.70
132,Dominic Solanke,Bournemouth, 25, FW,,,15(1),1348,3,3,1,-,1.9,71.2,1.2,1,6.70
133,Tyler Adams,Leeds, 23, D(R),M(CR),,16,1437,-,-,2,1,0.1,83.1,0.9,-,6.70
134,Vicente Guaita,Crystal Palace, 36, GK,,,19,1710,-,-,1,-,-,69.4,0.4,2,6.70
135,Wout Faes,Leicester, 24, D(C),,,13,1170,-,-,1,-,0.3,86.1,1.8,-,6.69
136,Leon Bailey,Aston Villa, 25, M(CLR),FW,,15(3),1165,4,2,4,-,1.5,70.8,0.7,1,6.69
137,Ivan Perisic,Tottenham, 33, M(CLR),FW,,13(7),1180,-,5,2,-,0.6,74.2,0.6,1,6.69
138,Nathan Aké,Man City, 27, D(CL),DMC,,12(1),1021,-,-,-,-,0.3,92.5,1.3,-,6.69
139,Armel Bella-Kotchap,Southampton, 21, D(C),,,13,1030,-,1,1,-,0.8,75.9,1.8,-,6.69
140,Wilfried Gnonto,Leeds, 19, AM(L),,,5(2),449,1,1,2,-,1.3,67.7,0.3,1,6.69
141,Wesley Fofana,Chelsea, 22, D(C),,,2,180,-,-,-,-,0.5,90.5,2,-,6.69
142,Emiliano Buendía,Aston Villa, 26, M(CLR),,,11(8),1066,3,-,-,-,1.3,80.3,0.7,1,6.68
143,Issa Diop,Fulham, 26, D(C),,,9(3),873,1,-,1,-,0.3,86.7,1.6,-,6.68
144,Raphaël Varane,Man Utd, 29, D(C),,,12(2),1033,-,-,1,-,0.1,85.8,1.4,-,6.68
145,Anthony Martial,Man Utd, 27, AM(LR),FW,,6(3),462,3,2,-,-,1.3,83.3,0.6,-,6.68
146,Alex Iwobi,Everton, 26, M(CLR),,,19,1693,1,5,2,-,0.9,82.7,0.2,-,6.68
147,Boubacar Kamara,Aston Villa, 23, D(CL),DMC,,12(1),1026,-,1,3,-,0.2,84,1.1,-,6.67
148,Jordan Ayew,Crystal Palace, 31, AM(CLR),FW,,15(4),1249,1,1,1,-,0.6,79.8,1.3,-,6.66
149,Aaron Cresswell,West Ham, 33, D(CL),M(L),,17(1),1534,-,-,2,-,0.4,83.2,1.3,-,6.66
150,César Azpilicueta,Chelsea, 33, D(CLR),M(R),,10(6),980,-,-,3,-,0.3,82.8,1.4,-,6.66
151,Christian Eriksen,Man Utd, 30, M(CLR),FW,,17(1),1409,1,7,3,-,1.2,83.4,0.3,1,6.66
152,Kurt Zouma,West Ham, 28, D(CR),,,14,1185,1,-,-,-,0.7,86.2,2.3,1,6.65
153,David de Gea,Man Utd, 32, GK,,,19,1710,-,-,-,-,-,66.7,0.1,1,6.65
154,Fabinho,Liverpool, 29, D(CR),DMC,,14(3),1246,-,-,2,-,0.4,88.6,0.8,-,6.65
155,Demarai Gray,Everton, 26, AM(CLR),FW,,18(1),1593,3,1,1,-,1.9,80.1,0.4,-,6.65
156,Lloyd Kelly,Bournemouth, 24, D(CL),,,9,810,-,2,1,-,0.1,81.8,1.9,2,6.65
157,Liam Cooper,Leeds, 31, D(C),,,11(1),1017,1,-,2,-,0.8,77.8,3.3,-,6.65
158,Neco Williams,Nottingham Forest, 21, D(LR),M(LR),,12(7),1106,-,-,3,-,1,68.3,0.5,1,6.65
159,Ollie Watkins,Aston Villa, 27, AM(LR),FW,,17(1),1451,3,4,1,-,1.9,70.8,2.1,1,6.65
160,Marc Roca,Leeds, 26, DMC,,,17(1),1332,1,1,4,-,0.8,80.7,0.7,-,6.64
161,Ashley Young,Aston Villa, 37, D(LR),M(LR),,11(4),1042,1,-,3,-,0.5,76.2,0.7,-,6.64
162,Diogo Jota,Liverpool, 26, AM(CLR),FW,,2(2),197,-,1,1,-,0.8,60.7,0.8,-,6.64
163,Manuel Akanji,Man City, 27, D(CR),,,12(1),1107,-,1,1,-,0.7,94.1,0.8,-,6.64
164,Sean Longstaff,Newcastle, 25, DMC,,,15(4),1412,1,2,2,-,0.9,80.3,0.7,-,6.64
165,Saïd Benrahma,West Ham, 27, AM(CLR),,,9(8),970,3,1,-,-,2.1,86.6,0.1,-,6.63
166,Emerson Royal,Tottenham, 24, D(R),M(R),,12(3),1004,1,1,1,1,0.7,81.9,0.9,-,6.63
167,Wout Weghorst,Man Utd, 30, FW,,,1,69,-,-,-,-,1,70,1,-,6.63
168,Hugo Lloris,Tottenham, 36, GK,,,19,1710,-,-,-,-,-,77.5,0.4,-,6.63
169,Maximilian Kilman,Wolves, 25, D(C),,,19,1710,-,-,2,-,0.3,83,2.2,1,6.63
170,José Sá,Wolves, 30, GK,,,19,1710,-,-,-,-,-,69.9,0.2,1,6.63
171,Cristian Romero,Tottenham, 24, D(C),,,11(1),1018,-,-,4,-,0.5,88.2,1.9,-,6.62
172,Bobby De Cordova-Reid,Fulham, 29, D(R),M(CLR),FW,19,1583,4,1,6,-,1.1,71.5,0.4,-,6.62
173,Joe Aribo,Southampton, 26, M(CLR),FW,,11(7),1086,2,-,2,-,0.7,74.3,1.5,-,6.62
174,Marc Cucurella,Chelsea, 24, D(CL),M(L),,14(3),1110,-,2,2,-,0.4,86.5,0.5,-,6.62
175,Joël Veltman,Brighton, 31, D(CR),M(R),,13(3),1135,-,1,1,-,0.3,83.8,0.7,-,6.62
176,Robin Olsen,Aston Villa, 33, GK,,,2(1),235,-,-,-,-,-,53.2,-,-,6.61
177,Vitaliy Mykolenko,Everton, 23, D(CL),M(L),,19,1645,-,-,2,-,0.3,77.4,0.7,-,6.61
178,João Moutinho,Wolves, 36, M(C),,,15(2),1283,-,2,2,-,0.6,84.1,0.3,-,6.61
179,Tyrone Mings,Aston Villa, 29, D(CL),,,17,1530,-,1,4,-,0.1,83.6,1.6,-,6.61
180,Anthony Gordon,Everton, 21, AM(LR),,,12(4),1097,3,-,6,-,1.6,75.1,0.6,1,6.61
181,Daniel Podence,Wolves, 27, AM(CLR),FW,,16(3),1286,5,-,4,-,1.6,70.6,0.3,1,6.60
182,Jacob Ramsey,Aston Villa, 21, AM(C),,,13(3),1107,2,2,4,-,0.6,84.6,0.4,1,6.60
183,Jarrod Bowen,West Ham, 26, AM(CLR),FW,,19,1703,2,-,1,-,2.2,74.2,0.7,1,6.60
184,Tyrell Malacia,Man Utd, 23, D(L),,,9(3),837,-,-,3,-,0.3,84.4,0.4,-,6.60
185,Victor Lindelöf,Man Utd, 28, D(CR),,,4(2),439,-,-,-,-,-,93.2,1.8,-,6.59
186,Stefan Bajcetic,Liverpool, 18, Defender,,,0(3),35,1,-,-,-,0.7,77.8,0.3,-,6.59
187,Hugo Bueno,Wolves, 20, D(L),,,9(1),745,-,1,1,-,0.3,82.9,0.3,-,6.59
188,Pontus Jansson,Brentford, 31, D(C),,,6(1),516,-,-,-,-,0.1,81.3,2.4,-,6.59
189,Nathan Collins,Wolves, 21, D(CR),,,16,1383,-,-,2,1,0.1,88.8,1.4,-,6.59
190,Aymeric Laporte,Man City, 28, D(CL),,,3(1),286,-,-,-,-,1.8,91,2.8,-,6.59
191,Antonee Robinson,Fulham, 25, D(L),M(L),,17,1469,-,-,5,-,0.1,76.1,1,-,6.59
192,Jadon Sancho,Man Utd, 22, AM(CLR),,,10,723,2,1,-,-,0.7,83.2,0.2,-,6.58
193,John McGinn,Aston Villa, 28, M(CR),,,14(3),1227,-,1,4,-,1.2,78.9,0.8,-,6.58
194,Idrissa Gueye,Everton, 33, M(C),,,13(1),1049,-,1,3,-,-,85.3,0.8,-,6.58
195,Rico Henry,Brentford, 25, D(L),M(L),,18,1617,-,1,-,-,0.4,75.1,1,-,6.58
196,Hakim Ziyech,Chelsea, 29, M(CLR),,,3(6),334,-,1,-,-,0.8,73.9,-,1,6.58
197,Joe Gomez,Liverpool, 25, D(CLR),,,9(6),921,-,-,2,-,0.2,84.8,2.1,-,6.58
198,Pedro Neto,Wolves, 22, AM(CLR),FW,,8,605,-,-,1,-,1.4,85.6,-,-,6.58
199,Dwight McNeil,Everton, 23, AM(CLR),,,10(7),849,2,1,2,-,0.7,81.9,0.2,2,6.58
200,Crysencio Summerville,Leeds, 21, AM(LR),,,5(7),551,4,1,2,-,0.9,77.7,0.3,-,6.57
201,Jorginho,Chelsea, 31, DMC,,,14(3),1192,2,-,4,-,0.3,85.7,0.4,-,6.57
202,Josh Dasilva,Brentford, 24, M(C),,,9(10),860,3,2,1,-,0.7,82.4,0.3,-,6.57
203,Neto,Bournemouth, 33, GK,,,9,766,-,-,3,-,-,58.9,0.2,-,6.57
204,Lucas Digne,Aston Villa, 29, D(CL),M(L),,13(1),1069,1,-,2,-,0.4,78.7,1.3,-,6.57
205,Dean Henderson,Nottingham Forest, 25, GK,,,18,1620,-,-,2,-,-,56.8,0.1,2,6.57
206,Pervis Estupiñán,Brighton, 24, D(L),,,12(3),995,-,-,3,-,0.3,81.3,1.2,-,6.57
207,Harvey Barnes,Leicester, 25, AM(CL),,,17,1432,6,-,-,-,2.4,75.1,0.8,-,6.57
208,Kyle Walker-Peters,Southampton, 25, D(LR),M(R),,15,1315,1,-,2,-,0.4,75.5,0.9,-,6.57
209,Patson Daka,Leicester, 24, FW,,,9(7),702,3,3,2,-,1.2,67.8,0.7,-,6.56
210,Julián Álvarez,Man City, 22, AM(R),FW,,4(10),451,4,-,-,-,1.1,83.7,0.2,1,6.56
211,Daniel Amartey,Leicester, 28, D(CR),DMC,,14(2),1274,-,-,1,-,0.2,91.3,1.6,1,6.56
212,Boubakary Soumaré,Leicester, 23, DMC,,,12(2),845,-,-,4,-,0.1,89.2,0.6,-,6.56
213,Robert Sánchez,Brighton, 25, GK,,,18,1620,-,-,1,-,-,71,0.3,-,6.56
214,Tosin Adarabioyo,Fulham, 25, D(CR),,,12(2),1094,1,-,2,-,0.3,80.4,1.9,-,6.55
215,Marc Guéhi,Crystal Palace, 22, D(C),,,18,1620,-,-,6,-,0.3,87.9,1.3,-,6.55
216,Danny Ings,Aston Villa, 30, AM(C),FW,,8(10),819,6,-,3,-,1.5,72.2,0.9,2,6.55
217,Leander Dendoncker,Wolves, 27, D(C),M(C),,2(2),213,-,-,-,-,0.8,86.7,0.5,-,6.55
218,Pape Sarr,Tottenham, 20, AM(C),,,1(2),110,-,-,1,-,0.3,92.4,0.3,-,6.55
219,Lewis Cook,Bournemouth, 25, M(CL),,,17(2),1488,-,2,2,-,0.3,81.2,0.4,-,6.55
220,Ayoze Pérez,Leicester, 29, AM(CLR),FW,,3(5),380,-,1,-,-,1,75.7,0.3,-,6.55
221,Ben Davies,Tottenham, 29, D(CL),M(L),,13(4),1170,2,1,2,-,0.4,86.3,1.4,-,6.55
222,Jonny,Wolves, 28, D(CLR),M(LR),,11(2),1007,-,-,3,-,0.6,85,0.9,-,6.54
223,Nathan Patterson,Everton, 21, D(R),M(R),,11(2),988,-,-,3,-,0.6,81.3,0.5,-,6.54
224,Harrison Reed,Fulham, 27, D(R),M(CR),,19,1580,2,1,5,-,0.7,77.9,0.9,-,6.54
225,Rayan Aït-Nouri,Wolves, 21, D(L),M(L),,7(7),772,1,-,2,-,0.7,83.2,0.6,1,6.54
226,Davinson Sánchez,Tottenham, 26, D(C),,,6(5),553,-,-,1,-,0.4,87.9,1.4,-,6.53
227,Harvey Elliott,Liverpool, 19, AM(CR),,,12(6),1038,1,1,1,-,1.1,83.3,0.1,-,6.53
228,Ruben Loftus-Cheek,Chelsea, 26, M(CLR),,,12(2),958,-,-,1,-,0.6,86.4,1.4,-,6.53
229,Ben Johnson,West Ham, 22, D(CLR),M(LR),,6(1),489,-,-,-,-,-,72.8,1.1,-,6.53
230,Conor Gallagher,Chelsea, 22, AM(C),,,8(9),648,1,1,3,1,0.5,83,0.5,1,6.53
231,Ederson,Man City, 29, GK,,,19,1710,-,1,-,-,-,86,0.3,-,6.53
232,Odsonne Édouard,Crystal Palace, 25, AM(L),FW,,10(7),896,3,2,3,-,1.3,76.1,1.1,-,6.53
233,Trevoh Chalobah,Chelsea, 23, D(CR),DMC,,10(1),891,-,-,2,-,0.5,89,1.6,-,6.53
234,Brenden Aaronson,Leeds, 22, AM(CLR),,,18,1509,1,2,2,-,1.3,80,0.3,-,6.52
